#hg17.kgXref.kgID	hg17.kgXref.geneSymbol	hg17.knownToLocusLink.value
NM_001228	CASP8	841
NM_001229	CASP9	842
NM_001230	CASP10	843
NM_001231	CASQ1	844
NM_001232	CASQ2	845
NM_001233	CAV2	858
NM_001235	SERPINH1	871
NM_001236	CBR3	874
NM_001237	CCNA2	890
NM_001238	CCNE1	898
NM_001239	CCNH	902
NM_001240	CCNT1	904
NM_001241	CCNT2	905
NM_001242	TNFRSF7	939
NM_001243	TNFRSF8	943
NM_001244	TNFSF8	944
NM_001245	SIGLEC6	946
NM_001246	ENTPD2	954
NM_001247	ENTPD6	955
NM_001248	ENTPD3	956
NM_001249	ENTPD5	957
NM_001250	CD40	958
NM_001251	CD68	968
NM_001252	TNFSF7	970
NM_001253	CDC5L	988
NM_001254	CDC6	990
NM_001255	CDC20	991
NM_001256	CDC27	996
NM_001257	CDH13	1012
NM_001258	CDK3	1018
NM_001260	CDK8	1024
NM_001261	CDK9	1025
NM_001262	CDKN2C	1031
NM_001264	CDSN	1041
NM_001265	CDX2	1045
NM_001266	CES1	1066
NM_001267	CHAD	1101
NM_001268	RCBTB2	1102
NM_001269	RCC1	1104
NM_001270	CHD1	1105
NM_001271	CHD2	1106
NM_001273	CHD4	1108
NM_001274	CHEK1	1111
NM_001275	CHGA	1113
NM_001276	CHI3L1	1116
NM_001277	CHKA	1119
NM_001278	CHUK	1147
NM_001279	CIDEA	1149
NM_001280	CIRBP	1153
NM_001281	CKAP1	1155
NM_001282	AP2B1	163
NM_001283	AP1S1	1174
NM_001284	AP3S1	1176
NM_001285	CLCA1	1179
NM_001286	CLCN6	1185
NM_001287	CLCN7	1186
NM_001288	CLIC1	1192
NM_001289	CLIC2	1193
NM_001290	LDB2	9079
NM_001291	CLK2	1196
NM_001292	CLK3	1198
NM_001293	CLNS1A	1207
NM_001294	CLPTM1	1209
NM_001295	CCR1	1230
NM_001296	CCBP2	1238
NM_001297	CNGB1	1258
NM_001298	CNGA3	1261
NM_001299	CNN1	1264
NM_001302	CORT	1325
NM_001303	COX10	1352
NM_001304	CPD	1362
NM_001305	CLDN4	1364
NM_001306	CLDN3	1365
NM_001307	CLDN7	1366
NM_001308	CPN1	1369
NM_001310	CREBL2	1389
NM_001311	CRIP1	1396
NM_001312	CRIP2	1397
NM_001313	CRMP1	1400
NM_001315	MAPK14	1432
NM_001316	CSE1L	1434
NM_001317	CSH1	1442
NM_001319	CSNK1G2	1455
NM_001320	CSNK2B	1460
NM_001321	CSRP2	1466
NM_001322	CST2	1470
NM_001323	CST6	1474
NM_001324	CSTF1	1477
NM_001325	CSTF2	1478
NM_001326	CSTF3	1479
NM_001327	CTAG1B	246100
NM_001328	CTBP1	1487
NM_001329	CTBP2	1488
NM_001330	CTF1	1489
NM_001331	CTNND1	1500
NM_001332	CTNND2	1501
NM_001333	CTSL2	1515
NM_001334	CTSO	1519
NM_001335	CTSW	1521
NM_001336	CTSZ	1522
NM_001337	CX3CR1	1524
NM_001338	CXADR	1525
NM_001340	CYLC2	1539
NM_001343	DAB2	1601
NM_001344	DAD1	1603
NM_001346	DGKG	1608
NM_001347	DGKQ	1609
NM_001348	DAPK3	1613
NM_001349	DARS	1615
NM_001350	DAXX	1616
NM_001351	DAZL	1618
NM_001352	DBP	1628
NM_001353	AKR1C1	1645
NM_001354	AKR1C2	1646
NM_001355	DDT	1652
NM_001356	DDX3X	1654
NM_001359	DECR1	1666
NM_001360	DHCR7	1717
NM_001361	DHODH	1723
NM_001362	DIO3	1735
NM_001363	DKC1	1736
NM_001364	DLG2	1740
NM_001365	DLG4	1742
NM_001369	DNAH5	1767
NM_001371	DNAH8	1769
NM_001372	DNAH9	1770
NM_001374	DNASE1L2	1775
NM_001375	DNASE2	1777
NM_001376	DNCH1	1778
NM_001378	DNCI2	1781
NM_001379	DNMT1	1786
NM_001381	DOK1	1796
NM_001382	DPAGT1	1798
NM_001383	DPH2L1	1801
NM_001384	DPH2L2	1802
NM_001386	DPYSL2	1808
NM_001387	DPYSL3	1809
NM_001388	DRG2	1819
NM_001389	DSCAM	1826
NM_001390	DTNA	1837
NM_001391	DTNA	1837
NM_001392	DTNA	1837
NM_001393	ECM2	1842
NM_001394	DUSP4	1846
NM_001395	DUSP9	1852
NM_001396	DYRK1A	1859
NM_001397	ECE1	1889
NM_001398	ECH1	1891
NM_001399	EDA	1896
NM_001402	EEF1A1	1915
NM_001404	EEF1G	1937
NM_001405	EFNA2	1943
NM_001406	EFNB3	1949
NM_001407	CELSR3	1951
NM_001408	CELSR2	1952
NM_001409	EGFL3	1953
NM_001410	EGFL4	1954
NM_001412	EIF1AX	1964
NM_001414	EIF2B1	1967
NM_001416	EIF4A1	1973
NM_001417	EIF4B	1975
NM_001418	EIF4G2	1982
NM_001419	ELAVL1	1994
NM_001420	ELAVL3	1995
NM_001421	ELF4	2000
NM_001422	ELF5	2001
NM_001423	EMP1	2012
NM_001424	EMP2	2013
NM_001425	EMP3	2014
NM_001426	EN1	2019
NM_001427	EN2	2020
NM_001428	ENO1	2023
NM_001429	EP300	2033
NM_001430	EPAS1	2034
NM_001431	EPB41L2	2037
NM_001432	EREG	2069
NM_001433	ERN1	2081
NM_001436	FBL	2091
NM_001437	ESR2	2100
NM_001438	ESRRG	2104
NM_001439	EXTL2	2135
NM_001440	EXTL3	2137
NM_001441	FAAH	2166
NM_001442	FABP4	2167
NM_001443	FABP1	2168
NM_001444	FABP5	2171
NM_001445	FABP6	2172
NM_001446	FABP7	2173
NM_001447	FAT2	2196
NM_001448	GPC4	2239
NM_001449	FHL1	2273
NM_001450	FHL2	2274
NM_001451	FOXF1	2294
NM_001452	FOXF2	2295
NM_001453	FOXC1	2296
NM_001454	FOXJ1	2302
NM_001455	FOXO3A	2309
NM_001456	FLNA	2316
NM_001457	FLNB	2317
NM_001458	FLNC	2318
NM_001459	FLT3LG	2323
NM_001460	FMO2	2327
NM_001461	FMO5	2330
NM_001462	FPRL1	2358
NM_001463	FRZB	2487
NM_001464	ADAM2	2515
NM_001465	FYB	2533
NM_001466	FZD2	2535
NM_001468	GAGE1	2543
NM_001469	XRCC6	2547
NM_001470	GABBR1	2550
NM_001472	GAGE2	2574
NM_001476	GAGE6	2576
NM_001478	GALGT	2583
NM_001480	GALR1	2587
NM_001481	GAS8	2622
NM_001482	GATM	2628
NM_001483	GBAS	2631
NM_001485	GBX2	2637
NM_001486	GCKR	2646
NM_001487	BLOC1S1	2647
NM_001489	NR6A1	2649
NM_001490	GCNT1	2650
NM_001491	GCNT2	2651
NM_001492	GDF1	2657
NM_001494	GDI2	2665
NM_001496	GFRA3	2676
NM_001497	B4GALT1	2683
NM_001498	GCLC	2729
NM_001499	GLE1L	2733
NM_001500	GMDS	2762
NM_001501	GNRH2	2797
NM_001502	GP2	2813
NM_001503	GPLD1	2822
NM_001504	CXCR3	2833
NM_001505	GPR30	2852
NM_001506	GPR32	2854
NM_001507	MLNR	2862
NM_001508	GPR39	2863
NM_001509	GPX5	2880
NM_001510	GRID2	2895
NM_001511	CXCL1	2919
NM_001512	GSTA4	2941
NM_001514	GTF2B	2959
NM_001515	GTF2H2	2966
NM_001516	GTF2H3	2967
NM_001517	GTF2H4	2968
NM_001518	GTF2I	2969
NM_001519	BRF1	2972
NM_001520	GTF3C1	2975
NM_001521	GTF3C2	2976
NM_001522	GUCY2F	2986
NM_001523	HAS1	3036
NM_001524	HCRT	3060
NM_001525	HCRTR1	3061
NM_001526	HCRTR2	3062
NM_001527	HDAC2	3066
NM_001528	HGFAC	3083
NM_001530	HIF1A	3091
NM_001531	MR1	3140
NM_001532	SLC29A2	3177
NM_001533	HNRPL	3191
NM_001536	HRMT1L2	3276
NM_001537	HSBP1	3281
NM_001539	DNAJA1	3301
NM_001540	HSPB1	3315
NM_001541	HSPB2	3316
NM_001542	IGSF3	3321
NM_001543	NDST1	3340
NM_001544	ICAM4	3386
NM_001545	ICT1	3396
NM_001546	ID4	3400
NM_001549	IFIT3	3437
NM_001551	IGBP1	3476
NM_001552	IGFBP4	3487
NM_001553	IGFBP7	3490
NM_001554	CYR61	3491
NM_001555	IGSF1	3547
NM_001556	IKBKB	3551
NM_001557	IL8RB	3579
NM_001558	IL10RA	3587
NM_001559	IL12RB2	3595
NM_001560	IL13RA1	3597
NM_001561	TNFRSF9	3604
NM_001562	IL18	3606
NM_001563	IMPG1	3617
NM_001564	ING2	3622
NM_001565	CXCL10	3627
NM_001566	INPP4A	3631
NM_001567	INPPL1	3636
NM_001568	EIF3S6	3646
NM_001569	IRAK1	3654
NM_001570	IRAK2	3656
NM_001571	IRF3	3661
NM_001572	IRF7	3665
NM_001584	C11orf8	744
NM_001586	CXorf2	1527
NM_001587	OCRL	4952
NM_001604	PAX6	5080
NM_001605	AARS	16
NM_001607	ACAA1	30
NM_001608	ACADL	33
NM_001609	ACADSB	36
NM_001610	ACP2	53
NM_001611	ACP5	54
NM_001612	ACRV1	56
NM_001613	ACTA2	59
NM_001614	ACTG1	71
NM_001615	ACTG2	72
NM_001616	ACVR2A	92
NM_001617	ADD2	119
NM_001618	PARP1	142
NM_001619	ADRBK1	156
NM_001620	AHNAK	79026
NM_001622	AHSG	197
NM_001623	AIF1	199
NM_001624	AIM1	202
NM_001625	AK2	204
NM_001626	AKT2	208
NM_001627	ALCAM	214
NM_001628	AKR1B1	231
NM_001629	ALOX5AP	241
NM_001630	ANXA8	244
NM_001631	ALPI	248
NM_001632	ALPP	250
NM_001633	AMBP	259
NM_001635	AMPH	273
NM_001636	SLC25A6	293
NM_001637	AOAH	313
NM_001638	APOF	319
NM_001639	APCS	325
NM_001640	APEH	327
NM_001641	APEX1	328
NM_001642	APLP2	334
NM_001643	APOA2	336
NM_001644	APOBEC1	339
NM_001645	APOC1	341
NM_001646	APOC4	346
NM_001647	APOD	347
NM_001648	KLK3	354
NM_001649	APXL	357
NM_001650	AQP4	361
NM_001651	AQP5	362
NM_001654	ARAF	369
NM_001655	ARCN1	372
NM_001656	TRIM23	373
NM_001657	AREG	374
NM_001658	ARF1	375
NM_001659	ARF3	377
NM_001660	ARF4	378
NM_001661	ARF4L	379
NM_001662	ARF5	381
NM_001663	ARF6	382
NM_001664	RHOA	387
NM_001665	RHOG	391
NM_001666	ARHGAP4	393
NM_001667	ARL2	402
NM_001668	ARNT	405
NM_001669	ARSD	414
NM_001670	ARVCF	421
NM_001671	ASGR1	432
NM_001672	ASIP	434
NM_001674	ATF3	467
NM_001675	ATF4	468
NM_001676	ATP12A	479
NM_001677	ATP1B1	481
NM_001678	ATP1B2	482
NM_001679	ATP1B3	483
NM_001680	FXYD2	486
NM_001681	ATP2A2	488
NM_001682	ATP2B1	490
NM_001683	ATP2B2	491
NM_001684	ATP2B4	493
NM_001686	ATP5B	506
NM_001687	ATP5D	513
NM_001688	ATP5F1	515
NM_001690	ATP6V1A	523
NM_001692	ATP6V1B1	525
NM_001694	ATP6V0C	527
NM_001695	ATP6V1C1	528
NM_001696	ATP6V1E1	529
NM_001697	ATP5O	539
NM_001698	AUH	549
NM_001700	AZU1	566
NM_001701	BAAT	570
NM_001702	BAI1	575
NM_001703	BAI2	576
NM_001704	BAI3	577
NM_001707	BCL7B	9275
NM_001708	OPN1SW	611
NM_001710	BF	629
NM_001711	BGN	633
NM_001712	CEACAM1	634
NM_001713	BHMT	635
NM_001714	BICD1	636
NM_001715	BLK	640
NM_001716	BLR1	643
NM_001717	BNC1	646
NM_001718	BMP6	654
NM_001719	BMP7	655
NM_001720	BMP8B	656
NM_001722	POLR3D	661
NM_001723	DST	667
NM_001725	BPI	671
NM_001727	BRS3	680
NM_001728	BSG	682
NM_001729	BTC	685
NM_001730	KLF5	688
NM_001731	BTG1	694
NM_001732	BTN1A1	696
NM_001735	C5	727
NM_001737	C9	735
NM_001738	CA1	759
NM_001739	CA5A	763
NM_001740	CALB2	794
NM_001741	CALCA	796
NM_001742	CALCR	799
NM_001743	CALM2	805
NM_001744	CAMK4	814
NM_001745	CAMLG	819
NM_001746	CANX	821
NM_001747	CAPG	822
NM_001748	CAPN2	824
NM_001749	CAPNS1	826
NM_001750	CAST	831
NM_001751	CARS	833
NM_001752	CAT	847
NM_001753	CAV1	857
NM_001754	RUNX1	861
NM_001755	CBFB	865
NM_001756	SERPINA6	866
NM_001757	CBR1	873
NM_001759	CCND2	894
NM_001760	CCND3	896
NM_001761	CCNF	899
NM_001762	CCT6A	908
NM_001763	CD1A	909
NM_001764	CD1B	910
NM_001765	CD1C	911
NM_001766	CD1D	912
NM_001767	CD2	914
NM_001768	CD8A	925
NM_001769	CD9	928
NM_001770	CD19	930
NM_001771	CD22	933
NM_001772	CD33	945
NM_001773	CD34	947
NM_001774	CD37	951
NM_001775	CD38	952
NM_001776	ENTPD1	953
NM_001778	CD48	962
NM_001779	CD58	965
NM_001780	CD63	967
NM_001781	CD69	969
NM_001782	CD72	971
NM_001783	CD79A	973
NM_001784	CD97	976
NM_001785	CDA	978
NM_001786	CDC2	983
NM_001787	CDC2L1	984
NM_001789	CDC25A	993
NM_001790	CDC25C	995
NM_001791	CDC42	998
NM_001792	CDH2	1000
NM_001793	CDH3	1001
NM_001794	CDH4	1002
NM_001795	CDH5	1003
NM_001796	CDH8	1006
NM_001797	CDH11	1009
NM_001798	CDK2	1017
NM_001799	CDK7	1022
NM_001800	CDKN2D	1032
NM_001801	CDO1	1036
NM_001802	CDR2	1039
NM_001803	CD52	1043
NM_001804	CDX1	1044
NM_001805	CEBPE	1053
NM_001806	CEBPG	1054
NM_001807	CEL	1056
NM_001809	CENPA	1058
NM_001810	CENPB	1059
NM_001812	CENPC1	1060
NM_001813	CENPE	1062
NM_001814	CTSC	1075
NM_001815	CEACAM3	1084
NM_001816	CEACAM8	1088
NM_001817	CEACAM4	1089
NM_001818	AKR1C4	1109
NM_001819	CHGB	1114
NM_001821	CHML	1122
NM_001822	CHN1	1123
NM_001823	CKB	1152
NM_001824	CKM	1158
NM_001825	CKMT2	1160
NM_001826	CKS1B	1163
NM_001827	CKS2	1164
NM_001828	CLC	1178
NM_001829	CLCN3	1182
NM_001830	CLCN4	1183
NM_001831	CLU	1191
NM_001832	CLPS	1208
NM_001833	CLTA	1211
NM_001834	CLTB	1212
NM_001836	CMA1	1215
NM_001837	CCR3	1232
NM_001838	CCR7	1236
NM_001839	CNN3	1266
NM_001841	CNR2	1269
NM_001843	CNTN1	1272
NM_001844	COL2A1	1280
NM_001845	COL4A1	1282
NM_001846	COL4A2	1284
NM_001847	COL4A6	1288
NM_001849	COL6A2	1292
NM_001850	COL8A1	1295
NM_001851	COL9A1	1297
NM_001852	COL9A2	1298
NM_001853	COL9A3	1299
NM_001854	COL11A1	1301
NM_001855	COL15A1	1306
NM_001856	COL16A1	1307
NM_001858	COL19A1	1310
NM_001859	SLC31A1	1317
NM_001860	SLC31A2	1318
NM_001861	COX4I1	1327
NM_001862	COX5B	1329
NM_001863	COX6B1	1340
NM_001864	COX7A1	1346
NM_001865	COX7A2	1347
NM_001866	COX7B	1349
NM_001867	COX7C	1350
NM_001868	CPA1	1357
NM_001869	CPA2	1358
NM_001870	CPA3	1359
NM_001871	CPB1	1360
NM_001872	CPB2	1361
NM_001873	CPE	1363
NM_001874	CPM	1368
NM_001875	CPS1	1373
NM_001876	CPT1A	1374
NM_001877	CR2	1380
NM_001878	CRABP2	1382
NM_001879	MASP1	5648
NM_001880	ATF2	1386
NM_001881	CREM	1390
NM_001882	CRHBP	1393
NM_001883	CRHR2	1395
NM_001884	HAPLN1	1404
NM_001885	CRYAB	1410
NM_001886	CRYBA4	1413
NM_001887	CRYBB1	1414
NM_001888	CRYM	1428
NM_001889	CRYZ	1429
NM_001890	CSN1S1	1446
NM_001891	CSN2	1447
NM_001892	CSNK1A1	1452
NM_001893	CSNK1D	1453
NM_001896	CSNK2A2	1459
NM_001897	CSPG4	1464
NM_001898	CST1	1469
NM_001899	CST4	1472
NM_001900	CST5	1473
NM_001901	CTGF	1490
NM_001902	CTH	1491
NM_001903	CTNNA1	1495
NM_001904	CTNNB1	1499
NM_001905	CTPS	1503
NM_001906	CTRB1	1504
NM_001907	CTRL	1506
NM_001909	CTSD	1509
NM_001910	CTSE	1510
NM_001911	CTSG	1511
NM_001912	CTSL	1514
NM_001913	CUTL1	1523
NM_001914	CYB5	1528
NM_001916	CYC1	1537
NM_001917	DAO	1610
NM_001919	DCI	1632
NM_001920	DCN	1634
NM_001921	DCTD	1635
NM_001922	DCT	1638
NM_001923	DDB1	1642
NM_001924	GADD45A	1647
NM_001925	DEFA4	1669
NM_001926	DEFA6	1671
NM_001927	DES	1674
NM_001928	DF	1675
NM_001930	DHPS	1725
NM_001931	DLAT	1737
NM_001932	MPP3	4356
NM_001933	DLST	1743
NM_001934	DLX4	1748
NM_001935	DPP4	1803
NM_001937	DPT	1805
NM_001938	DR1	1810
NM_001939	DRP2	1821
NM_001941	DSC3	1825
NM_001942	DSG1	1828
NM_001943	DSG2	1829
NM_001944	DSG3	1830
NM_001945	HBEGF	1839
NM_001946	DUSP6	1848
NM_001947	DUSP7	1849
NM_001948	DUT	1854
NM_001949	E2F3	1871
NM_001950	E2F4	1874
NM_001951	E2F5	1875
NM_001952	E2F6	1876
NM_001953	ECGF1	1890
NM_001954	DDR1	780
NM_001955	EDN1	1906
NM_001956	EDN2	1907
NM_001957	EDNRA	1909
NM_001958	EEF1A2	1917
NM_001959	EEF1B2	1933
NM_001960	EEF1D	1936
NM_001961	EEF2	1938
NM_001962	EFNA5	1946
NM_001963	EGF	1950
NM_001964	EGR1	1958
NM_001965	EGR4	1961
NM_001966	EHHADH	1962
NM_001967	EIF4A2	1974
NM_001968	EIF4E	1977
NM_001969	EIF5	1983
NM_001970	EIF5A	1984
NM_001971	ELA1	1990
NM_001972	ELA2	1991
NM_001973	ELK4	2005
NM_001974	EMR1	2015
NM_001975	ENO2	2026
NM_001976	ENO3	2027
NM_001977	ENPEP	2028
NM_001979	EPHX2	2053
NM_001980	EPIM	2054
NM_001981	EPS15	2060
NM_001982	ERBB3	2065
NM_001983	ERCC1	2067
NM_001984	ESD	2098
NM_001985	ETFB	2109
NM_001986	ETV4	2118
NM_001987	ETV6	2120
NM_001988	EVPL	2125
NM_001989	EVX1	2128
NM_001990	EYA3	2140
NM_001991	EZH1	2145
NM_001992	F2R	2149
NM_001993	F3	2152
NM_001994	F13B	2165
NM_001995	ACSL1	2180
NM_001996	FBLN1	2192
NM_001997	FAU	2197
NM_001999	FBN2	2201
NM_002000	FCAR	2204
NM_002001	FCER1A	2205
NM_002002	FCER2	2208
NM_002003	FCN1	2219
NM_002004	FDPS	2224
NM_002005	FES	2242
NM_002006	FGF2	2247
NM_002007	FGF4	2249
NM_002009	FGF7	2252
NM_002010	FGF9	2254
NM_002012	FHIT	2272
NM_002013	FKBP3	2287
NM_002014	FKBP4	2288
NM_002015	FOXO1A	2308
NM_002016	FLG	2312
NM_002018	FLII	2314
NM_002019	FLT1	2321
NM_002020	FLT4	2324
NM_002021	FMO1	2326
NM_002022	FMO4	2329
NM_002023	FMOD	2331
NM_002024	FMR1	2332
NM_002025	FMR2	2334
NM_002026	FN1	2335
NM_002027	FNTA	2339
NM_002028	FNTB	2342
NM_002029	FPR1	2357
NM_002030	FPRL2	2359
NM_002031	FRK	2444
NM_002032	FTH1	2495
NM_002033	FUT4	2526
NM_002034	FUT5	2527
NM_002036	FY	2532
NM_002037	FYN	2534
NM_002038	G1P3	2537
NM_002040	GABPA	2551
NM_002041	GABPB2	2553
NM_002042	GABRR1	2569
NM_002043	GABRR2	2570
NM_002044	GALK2	2585
NM_002045	GAP43	2596
NM_002046	GAPDH	2597
NM_002047	GARS	2617
NM_002048	GAS1	2619
NM_002049	GATA1	2623
NM_002051	GATA3	2625
NM_002052	GATA4	2626
NM_002053	GBP1	2633
NM_002054	GCG	2641
NM_002055	GFAP	2670
NM_002056	GFPT1	2673
NM_002058	GGT2	2679
NM_002059	GH2	2689
NM_002060	GJA4	2701
NM_002061	GCLM	2730
NM_002062	GLP1R	2740
NM_002064	GLRX	2745
NM_002065	GLUL	2752
NM_002066	GML	2765
NM_002067	GNA11	2767
NM_002068	GNA15	2769
NM_002069	GNAI1	2770
NM_002070	GNAI2	2771
NM_002071	GNAL	2774
NM_002072	GNAQ	2776
NM_002073	GNAZ	2781
NM_002074	GNB1	2782
NM_002075	GNB3	2784
NM_002076	GNS	2799
NM_002077	GOLGA1	2800
NM_002078	GOLGA4	2803
NM_002079	GOT1	2805
NM_002080	GOT2	2806
NM_002081	GPC1	2817
NM_002082	GRK6	2870
NM_002083	GPX2	2877
NM_002084	GPX3	2878
NM_002085	GPX4	2879
NM_002086	GRB2	2885
NM_002087	GRN	2896
NM_002088	GRIK5	2901
NM_002089	CXCL2	2920
NM_002090	CXCL3	2921
NM_002091	GRP	2922
NM_002092	GRSF1	2926
NM_002093	GSK3B	2932
NM_002094	GSPT1	2935
NM_002095	GTF2E2	2961
NM_002096	GTF2F1	2962
NM_002098	GUCA1B	2979
NM_002100	GYPB	2994
NM_002101	GYPC	2995
NM_002103	GYS1	2997
NM_002104	GZMK	3003
NM_002105	H2AFX	3014
NM_002106	H2AFZ	3015
NM_002107	H3F3A	3020
NM_002108	HAL	3034
NM_002109	HARS	3035
NM_002110	HCK	3055
NM_002111	HD	3064
NM_002112	HDC	3067
NM_002113	CFHL1	3078
NM_002114	HIVEP1	3096
NM_002115	HK3	3101
NM_002116	HLA-A	3105
NM_002117	HLA-C	3107
NM_002118	HLA-DMB	3109
NM_002119	HLA-DOA	3111
NM_002120	HLA-DOB	3112
NM_002121	HLA-DPB1	3115
NM_002122	HLA-DQA1	3117
NM_002124	HLA-DRB1	3123
NM_002125	HLA-DRB5	3127
NM_002126	HLF	3131
NM_002127	HLA-G	3135
NM_002128	HMGB1	3146
NM_002129	HMGB2	3148
NM_002130	HMGCS1	3157
NM_002131	HMGA1	3159
NM_002133	HMOX1	3162
NM_002134	HMOX2	3163
NM_002135	NR4A1	3164
NM_002136	HNRPA1	3178
NM_002137	HNRPA2B1	3181
NM_002138	HNRPD	3184
NM_002139	RBMX	27316
NM_002140	HNRPK	3190
NM_002141	HOXA4	3201
NM_002143	HPCA	3208
NM_002144	HOXB1	3211
NM_002145	HOXB2	3212
NM_002146	HOXB3	3213
NM_002147	HOXB5	3215
NM_002148	HOXD10	3236
NM_002150	HPD	3242
NM_002152	HRC	3270
NM_002153	HSD17B2	3294
NM_002154	HSPA4	3308
NM_002155	HSPA6	3310
NM_002156	HSPD1	3329
NM_002157	HSPE1	3336
NM_002158	HTLF	3344
NM_002159	HTN1	3346
NM_002160	TNC	3371
NM_002162	ICAM3	3385
NM_002163	IRF8	3394
NM_002164	INDO	3620
NM_002165	ID1	3397
NM_002166	ID2	3398
NM_002167	ID3	3399
NM_002168	IDH2	3418
NM_002169	IFNA5	3442
NM_002170	IFNA8	3445
NM_002171	IFNA10	3446
NM_002173	IFNA16	3449
NM_002175	IFNA21	3452
NM_002176	IFNB1	3456
NM_002177	IFNW1	3467
NM_002178	IGFBP6	3489
NM_002180	IGHMBP2	3508
NM_002181	IHH	3549
NM_002182	IL1RAP	3556
NM_002183	IL3RA	3563
NM_002184	IL6ST	3572
NM_002185	IL7R	3575
NM_002186	IL9R	3581
NM_002187	IL12B	3593
NM_002188	IL13	3596
NM_002189	IL15RA	3601
NM_002190	IL17	3605
NM_002191	INHA	3623
NM_002192	INHBA	3624
NM_002193	INHBB	3625
NM_002195	INSL4	3641
NM_002196	INSM1	3642
NM_002197	ACO1	48
NM_002199	IRF2	3660
NM_002200	IRF5	3663
NM_002201	ISG20	3669
NM_002202	ISL1	3670
NM_002203	ITGA2	3673
NM_002204	ITGA3	3675
NM_002205	ITGA5	3678
NM_002206	ITGA7	3679
NM_002207	ITGA9	3680
NM_002208	ITGAE	3682
NM_002209	ITGAL	3683
NM_002210	ITGAV	3685
NM_002211	ITGB1	3688
NM_002213	ITGB5	3693
NM_002214	ITGB8	3696
NM_002215	ITIH1	3697
NM_002216	ITIH2	3698
NM_002217	ITIH3	3699
NM_002218	ITIH4	3700
NM_002220	ITPKA	3706
NM_002221	ITPKB	3707
NM_002222	ITPR1	3708
NM_002224	ITPR3	3710
NM_002225	IVD	3712
NM_002226	JAG2	3714
NM_002227	JAK1	3716
NM_002228	JUN	3725
NM_002229	JUNB	3726
NM_002230	JUP	3728
NM_002231	CD82	3732
NM_002233	KCNA4	3739
NM_002234	KCNA5	3741
NM_002236	KCNF1	3754
NM_002237	KCNG1	3755
NM_002238	KCNH1	3756
NM_002239	KCNJ3	3760
NM_002240	KCNJ6	3763
NM_002241	KCNJ10	3766
NM_002242	KCNJ13	3769
NM_002245	KCNK1	3775
NM_002246	KCNK3	3777
NM_002247	KCNMA1	3778
NM_002248	KCNN1	3780
NM_002249	KCNN3	3782
NM_002250	KCNN4	3783
NM_002251	KCNS1	3787
NM_002252	KCNS3	3790
NM_002253	KDR	3791
NM_002254	KIF3C	3797
NM_002255	KIR2DL4	3805
NM_002257	KLK1	3816
NM_002259	KLRC1	3821
NM_002260	KLRC2	3822
NM_002261	KLRC3	3823
NM_002262	KLRD1	3824
NM_002265	KPNB1	3837
NM_002266	KPNA2	3838
NM_002267	KPNA3	3839
NM_002268	KPNA4	3840
NM_002269	KPNA5	3841
NM_002270	TNPO1	3842
NM_002271	RANBP5	3843
NM_002272	KRT4	3851
NM_002273	KRT8	3856
NM_002274	KRT13	3860
NM_002275	KRT15	3866
NM_002276	KRT19	3880
NM_002277	KRTHA1	3881
NM_002278	KRTHA2	3882
NM_002279	KRTHA3B	3884
NM_002280	KRTHA5	3886
NM_002281	KRTHB1	3887
NM_002282	KRTHB3	3889
NM_002283	KRTHB5	3891
NM_002285	LAF4	3899
NM_002286	LAG3	3902
NM_002287	LAIR1	3903
NM_002288	LAIR2	3904
NM_002289	LALBA	3906
NM_002290	LAMA4	3910
NM_002291	LAMB1	3912
NM_002292	LAMB2	3913
NM_002293	LAMC1	3915
NM_002294	LAMP2	3920
NM_002295	RPSA	3921
NM_002296	LBR	3930
NM_002297	LCN1	3933
NM_002298	LCP1	3936
NM_002299	LCT	3938
NM_002300	LDHB	3945
NM_002301	LDHC	3948
NM_002302	LECT2	3950
NM_002303	LEPR	3953
NM_002304	LFNG	3955
NM_002305	LGALS1	3956
NM_002306	LGALS3	3958
NM_002307	LGALS7	3963
NM_002309	LIF	3976
NM_002310	LIFR	3977
NM_002311	LIG3	3980
NM_002312	LIG4	3981
NM_002313	ABLIM1	3983
NM_002314	LIMK1	3984
NM_002315	LMO1	4004
NM_002316	LMX1B	4010
NM_002317	LOX	4015
NM_002318	LOXL2	4017
NM_002319	LRCH4	4034
NM_002332	LRP1	4035
NM_002333	LRP3	4037
NM_002334	LRP4	4038
NM_002335	LRP5	4041
NM_002336	LRP6	4040
NM_002337	LRPAP1	4043
NM_002338	LSAMP	4045
NM_002339	LSP1	4046
NM_002340	LSS	4047
NM_002341	LTB	4050
NM_002342	LTBR	4055
NM_002343	LTF	4057
NM_002344	LTK	4058
NM_002345	LUM	4060
NM_002346	LY6E	4061
NM_002347	LY6H	4062
NM_002348	LY9	4063
NM_002349	LY75	4065
NM_002350	LYN	4067
NM_002351	SH2D1A	4068
NM_002353	TACSTD2	4070
NM_002354	TACSTD1	4072
NM_002355	M6PR	4074
NM_002356	MARCKS	4082
NM_002357	MXD1	4084
NM_002358	MAD2L1	4085
NM_002359	MAFG	4097
NM_002360	MAFK	7975
NM_002361	MAG	4099
NM_002362	MAGEA4	4103
NM_002363	MAGEB1	4112
NM_002364	MAGEB2	4113
NM_002365	MAGEB3	4114
NM_002367	MAGEB4	4115
NM_002370	MAGOH	4116
NM_002371	MAL	4118
NM_002372	MAN2A1	4124
